original_image,npz_path,csv_path,data_type,num_samples,num_leads,status,Col1_MAV,Col1_RMS,Col1_ZC,Col1_SSC,Col1_VAR,Col1_DASDV,Col1_AAC,Col1_Skew,Col1_Kurt,Col2_MAV,Col2_RMS,Col2_ZC,Col2_SSC,Col2_VAR,Col2_DASDV,Col2_AAC,Col2_Skew,Col2_Kurt,Col3_MAV,Col3_RMS,Col3_ZC,Col3_SSC,Col3_VAR,Col3_DASDV,Col3_AAC,Col3_Skew,Col3_Kurt,Col4_MAV,Col4_RMS,Col4_ZC,Col4_SSC,Col4_VAR,Col4_DASDV,Col4_AAC,Col4_Skew,Col4_Kurt,Col5_MAV,Col5_RMS,Col5_ZC,Col5_SSC,Col5_VAR,Col5_DASDV,Col5_AAC,Col5_Skew,Col5_Kurt,Col6_MAV,Col6_RMS,Col6_ZC,Col6_SSC,Col6_VAR,Col6_DASDV,Col6_AAC,Col6_Skew,Col6_Kurt,Col7_MAV,Col7_RMS,Col7_ZC,Col7_SSC,Col7_VAR,Col7_DASDV,Col7_AAC,Col7_Skew,Col7_Kurt,Col8_MAV,Col8_RMS,Col8_ZC,Col8_SSC,Col8_VAR,Col8_DASDV,Col8_AAC,Col8_Skew,Col8_Kurt,Col9_MAV,Col9_RMS,Col9_ZC,Col9_SSC,Col9_VAR,Col9_DASDV,Col9_AAC,Col9_Skew,Col9_Kurt,Col10_MAV,Col10_RMS,Col10_ZC,Col10_SSC,Col10_VAR,Col10_DASDV,Col10_AAC,Col10_Skew,Col10_Kurt,Col11_MAV,Col11_RMS,Col11_ZC,Col11_SSC,Col11_VAR,Col11_DASDV,Col11_AAC,Col11_Skew,Col11_Kurt,Col12_MAV,Col12_RMS,Col12_ZC,Col12_SSC,Col12_VAR,Col12_DASDV,Col12_AAC,Col12_Skew,Col12_Kurt,class
ECG Dataset\Abnormal heartbeat\HB_(1).png,final_check_output\npz_data\12_leads_data\Abnormal heartbeat\HB_(1)_12leads.npz,final_check_output\csv_data\12_leads_csv\Abnormal heartbeat\HB_(1).csv,12_leads,124,12,success,1.2254812695109265,1.8815528919272153,16,55,3.5402412851196674,1.2280594779166085,0.5447154471544715,1.8269012559495528,2.4477869893220134,1.7380332986472433,2.8716472555761197,16,51,8.246357960457855,2.1261056425427296,0.9186991869918699,-2.2628541461749,4.739359327530384,2.915170828997572,5.528133324193944,23,53,30.56025805006359,4.939813915282151,2.2560975609756095,-3.2219344447072107,13.018201815209409,1.6926703954214355,2.682542071506172,20,56,7.196031965400624,2.5425245120369917,1.1747967479674797,-0.9279647673599171,4.726776826122162,2.6222359521331935,4.39942592375833,17,55,19.354948458636834,3.3693682310520416,1.5447154471544715,2.853273317308493,9.049859387070839,0.5941727367325684,0.9132508172188429,16,53,0.8340270551508844,0.8926073982886736,0.44715447154471544,-0.24396969784020944,1.5697745260076559,4.06618539715574,6.293680104655862,15,47,39.610409259741026,4.931938525080797,2.569105691056911,2.0895207730969947,12.444295901346655,2.1585913111342347,4.232770114179378,13,54,17.91634283949011,3.947186916380516,1.4959349593495934,3.470896807362239,15.606266913948428,1.8336368366285116,2.8128518972825045,14,49,7.912135796045786,2.5085220602636262,1.113821138211382,2.240938144968859,5.226447163648055,2.11901664932362,3.6169534649101722,20,50,13.082352367325703,3.343784429197416,1.4878048780487805,3.0052897750921304,9.792530967527382,3.2187391605966007,4.4197204820222336,17,45,19.533929139206844,3.4852087766448325,2.0040650406504064,-0.599213449311445,2.4616899182916354,2.1733870967741935,4.855575445117274,27,60,23.576612903225808,3.777608397286838,1.2967479674796747,5.289174195980169,35.28849570758637,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(10).png,final_check_output\npz_data\12_leads_data\Abnormal heartbeat\HB_(10)_12leads.npz,final_check_output\csv_data\12_leads_csv\Abnormal heartbeat\HB_(10).csv,12_leads,124,12,success,4.064516129032258,4.734748434915574,10,51,22.417842741935484,2.50892715062723,1.4024390243902438,0.14867342057114458,-0.7592181410975529,3.4339880332986485,4.284943496106839,12,46,18.3607407648283,2.477951553690876,1.3617886178861789,-0.5248998727863112,0.07454142234087247,2.960587929240374,4.3656465906881055,16,51,19.058870154786682,2.977387680228086,1.5853658536585367,-0.8414555100700964,0.9508500332121437,9.397979535206384,11.051426242651337,8,51,122.13402199676263,4.532029941753908,2.426829268292683,-0.5617535197976343,-0.6080677268174219,3.083604318418314,4.7001269403839725,16,50,22.091193255723205,3.7434224156664206,1.8495934959349594,1.9099996983535927,4.541320382271814,3.0912460978147758,3.5908271208832594,9,65,12.89403941207076,2.3821831894225682,1.146341463414634,0.3256508591517897,-0.4567470524364423,6.076482830385016,7.4647585136435275,11,53,55.722619667013525,4.972280888663909,2.8780487804878048,-1.023295591165988,0.4643386939122909,9.402759712105443,10.882696596033718,8,54,118.43308520132389,4.865379465588829,2.3983739837398375,-0.6706024840471935,-0.6271668637603067,2.5365504682622277,3.519345968469943,10,50,12.385796045785641,3.2619386723908566,1.6869918699186992,1.1275942487907402,3.0189014479651926,1.9673517169614978,3.2234637410484885,18,68,10.390718489854319,2.896065455398275,1.451219512195122,2.6946198826573062,7.711315475618008,7.1811914672216455,8.493588625353395,9,55,72.14104773673256,5.7942359920620525,3.0813008130081303,-0.8889345506777839,-0.16026431316565937,8.91730619146722,9.970423426050923,8,52,99.40934329474503,3.25234437021036,1.8943089430894309,-0.8219992723791589,-1.0399727751581525,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(100).png,final_check_output\npz_data\12_leads_data\Abnormal heartbeat\HB_(100)_12leads.npz,final_check_output\csv_data\12_leads_csv\Abnormal heartbeat\HB_(100).csv,12_leads,124,12,success,1.472944849115506,2.5570493856932233,18,57,6.5385015608740895,2.1933936285482587,1.0853658536585367,1.757759888848767,4.489139311404976,0.5711498439125905,0.8213443429260397,18,60,0.6746065296566078,0.6595144802000149,0.34146341463414637,1.61727771525323,3.7538327716765787,2.913143860561915,4.8139804066509395,16,51,23.17440735561915,3.8948318894599896,1.7886178861788617,-2.039273443313148,4.790575104972995,2.471774193548386,3.184623709918853,10,45,10.141828173777316,1.392488560184213,0.7398373983739838,-0.3043002569370887,0.5438907522480503,1.5844823100936511,2.380449960307415,16,56,5.666542013527576,1.364473751263167,0.7235772357723578,-1.8272361238192314,2.616598872923709,2.4558402705515077,4.196949225850897,10,61,17.614382804370443,3.3459112288313198,1.5691056910569106,2.4551814302238326,6.154467838165758,1.9677419354838706,3.007307696888849,22,52,9.04389958376691,1.9500885950272322,0.9390243902439024,-1.6121797948535468,2.4143822971428746,1.1373569198751299,1.7563758907224063,17,69,3.084856269510926,1.0553772492390492,0.5447154471544715,-1.623271165605603,3.6236279101839273,3.7151729968782514,6.27583467787403,10,56,39.386100904006234,5.2190824038533234,2.292682926829268,-2.4186312381537665,5.738637521070618,2.2515608740894915,3.679388532621341,8,59,13.537899973985432,2.5847426001331524,1.3048780487804879,-2.22846976863237,4.171844311074485,2.0304370447450584,3.046242204960058,12,52,9.279591571279916,2.2568774745119304,1.048780487804878,-1.5998782448380433,2.2189294088742733,1.2304240374609785,1.8810343411293173,12,57,3.5382901925078047,1.0978545226237986,0.5,-1.6447745094989892,3.779289394191939,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(101).png,final_check_output\npz_data\12_leads_data\Abnormal heartbeat\HB_(101)_12leads.npz,final_check_output\csv_data\12_leads_csv\Abnormal heartbeat\HB_(101).csv,12_leads,124,12,success,1.1589490114464103,1.674756532540847,14,55,2.804809443288241,1.2029773362556402,0.5528455284552846,1.8437864177634513,3.722517141800439,1.3452133194588967,1.8453826282766015,26,57,3.4054370447450575,1.5013544020818024,0.8170731707317073,-1.3546184241836878,1.8904878886367324,2.4045265348595217,3.786408411364031,11,52,14.336888657648283,2.7117629941765498,1.2113821138211383,-1.9764547610570047,4.524645180230121,1.3306451612903225,1.9526914841464498,19,55,3.8130040322580645,1.3532556347594233,0.7601626016260162,-1.310662362226677,2.5301991770812897,1.589360041623309,2.1839023857748616,22,59,4.769429630593133,1.7559422921421233,1.0040650406504066,1.5358294078788088,2.4752170289684345,0.7313345473465143,0.9603464054820907,14,56,0.9222652185223723,0.5040486490909449,0.2804878048780488,0.6647023267123732,0.3479560317799897,3.1287721123829355,5.643336398585172,16,58,31.847245707596255,4.943173004214347,2.272357723577236,-2.724204952118838,9.480972910047488,0.7226847034339235,0.9329777331599722,25,73,0.8704474505723203,0.6837248531366605,0.4065040650406504,0.061589342407781036,0.07318308181451005,0.933142559833507,1.1454452169603013,25,67,1.312044745057232,0.8446387595572095,0.524390243902439,0.6488979369328558,-0.3576948850738635,1.2975416233090533,1.6362573328523897,20,57,2.677338059313215,1.3442137363922788,0.7439024390243902,0.7702247293711021,-0.2298246310996519,3.5600936524453695,6.300872563163934,16,49,39.70099505723205,4.736555641982209,2.2886178861788617,-2.4878658989949427,7.549179556824667,1.0980749219562955,1.5317274123566595,19,68,2.346188865764828,1.2502032355106512,0.6463414634146342,1.2283575641092925,1.8126968538344839,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(102).png,final_check_output\npz_data\12_leads_data\Abnormal heartbeat\HB_(102)_12leads.npz,final_check_output\csv_data\12_leads_csv\Abnormal heartbeat\HB_(102).csv,12_leads,124,12,success,0.7208636836628501,1.0662864068123334,18,47,1.1369667013527571,0.9061667679749208,0.4715447154471545,1.512876559723114,2.498712500546925,1.2399843912591044,1.8422918911157269,19,49,3.3940394120707604,1.5047350737842269,0.7073170731707317,-1.0947737310926358,2.3539138538042463,3.620935223725287,6.649156563503626,17,55,44.21128300598334,4.808634679373636,2.2398373983739837,-2.954019323195913,9.451658272239582,1.596774193548387,2.8191223053142793,16,57,7.947450572320499,2.538724473277774,1.0203252032520325,3.2356466521624174,16.18080701808899,1.616285119667014,2.1930146409453415,17,50,4.809313215400625,1.6910813397234847,0.8658536585365854,1.5209188979567,2.130425061834643,0.6231789802289278,0.7978981885245638,18,61,0.6366415192507804,0.5257592264788534,0.25203252032520324,0.8725458861008287,0.5052478582178366,4.047151404786681,8.061343125787124,19,54,64.98525299167532,5.482047567146356,2.565040650406504,-1.2648031066468943,8.963737914393459,2.0499479708636823,3.4744309081165725,12,52,12.071670135275754,2.421952447620842,0.983739837398374,2.63361759296126,7.273528558623216,1.0991155046826224,1.5086034917490345,19,60,2.2758844953173787,1.0640083745620668,0.6056910569105691,1.2360287330928081,2.1656259730172476,1.467546826222685,2.0483672528883865,16,49,4.195808402705514,1.3097507986145855,0.6666666666666666,0.7067632337531407,1.4037787085578284,3.5307947450572317,7.438464553269696,23,50,55.33075491024974,6.064105373733197,2.4634146341463414,0.5857444686162541,12.698602338257883,1.5983350676378771,2.627176269473462,18,52,6.902055150884495,1.7536257445739443,0.7520325203252033,2.4309059158168553,6.466263503994474,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(103).png,final_check_output\npz_data\12_leads_data\Abnormal heartbeat\HB_(103)_12leads.npz,final_check_output\csv_data\12_leads_csv\Abnormal heartbeat\HB_(103).csv,12_leads,124,12,success,1.3410509885535902,1.7369252918023876,16,63,3.0169094693028096,1.1333811563319973,0.6178861788617886,0.15591249564855372,0.22396556173756643,1.189125910509886,1.4991325969320335,16,64,2.2473985431841834,1.1098231017027762,0.5528455284552846,-0.5552258713057893,0.30661907191657356,3.262129292403746,4.491983896044208,9,56,20.1779193223205,2.000254048905439,1.0772357723577235,-0.24628496187514815,1.825615902419429,1.3459937565036424,1.8664912730083798,19,50,3.483789672216442,1.4220962427266433,0.8089430894308943,-0.8103556359833246,1.6623608078932115,1.4778876170655568,1.9051043217070525,16,60,3.6294224765868885,1.1324841390515155,0.6382113821138211,0.06588377611084538,-0.06991609616559025,0.7366024973985432,0.9276998173399691,17,60,0.8606269510926121,0.7255499736252784,0.3699186991869919,0.4145297033008088,0.17211757194264932,2.7278225806451615,4.5724006300971025,22,51,20.906847522112383,3.30818767470301,1.5975609756097562,-1.8599259371570642,4.38296178584097,1.1320239334027056,1.4528444596492092,18,61,2.1107570239334024,1.2623374885344052,0.5934959349593496,0.6658193394968981,0.3571333584648144,0.7943548387096774,1.1135166612308545,18,55,1.2399193548387097,0.6984302957695782,0.35772357723577236,0.22779949812783024,2.186460440214158,0.8125650364203953,1.0783180890371085,14,54,1.1627699011446413,0.807736977233458,0.3943089430894309,1.1922814543727882,2.1937194316068904,1.8392299687825187,2.9477543967146715,20,53,8.689255983350678,2.3979157616563596,1.1585365853658536,-1.7634419379992095,4.160807126926442,1.7704214360041621,2.122316509695409,8,61,4.5042273673257025,0.8577717398723143,0.3821138211382114,-0.234336179976514,-0.7614039136382718,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(104).png,final_check_output\npz_data\12_leads_data\Abnormal heartbeat\HB_(104)_12leads.npz,final_check_output\csv_data\12_leads_csv\Abnormal heartbeat\HB_(104).csv,12_leads,124,12,success,1.9680020811654524,2.355363397136467,20,54,5.547736732570238,1.7320508075688772,1.008130081300813,0.30677440983726634,-0.6080809220827468,1.7632674297606663,2.356505568921482,29,55,5.5531184963579605,2.5359208009997256,1.3902439024390243,-0.5780033471942919,0.7164171871809586,1.7359521331945889,2.3806582742885647,23,52,5.667533818938607,2.0387506137437827,1.1585365853658536,-1.0496767733447137,1.4727516032305719,2.4875130072840785,2.990837551788172,16,42,8.945109261186264,1.8795000200061855,1.2276422764227641,-0.1366519758604905,-0.8861593226364861,2.273933402705515,3.145471448726799,23,58,9.893990634755466,3.639775745794622,1.853658536585366,0.8094593854804385,2.33728412410464,0.941987513007285,1.4343054242203683,16,55,2.0572320499479715,1.4615672621499902,0.6869918699186992,-1.6877634496233982,4.239423898351523,5.046273413111342,6.958510104232629,21,45,48.42086287070759,5.594258816618791,3.5284552845528454,-1.120881233115717,2.628939532964549,2.2540972944849123,3.510916063892771,20,48,12.32653160770031,4.019009706929089,1.9227642276422765,2.0230503393659443,6.518433039472134,2.2459677419354844,3.001351910963513,16,67,9.008113293444332,2.9867593989668926,1.2967479674796747,0.9676338153152698,1.6795250424853485,1.9451092611862644,2.90624842653779,33,58,8.446279916753381,3.393262094545074,1.6626016260162602,1.3217972740545105,2.941630018525374,3.0228277835587924,3.9627086649890884,21,42,15.703059963579602,3.721504198027319,2.1178861788617884,0.06286768144845603,0.6093848454819177,2.243756503642039,3.5301400337165494,24,56,12.46188865764828,3.980388917550564,1.8739837398373984,2.05475635636126,5.842424679192197,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(105).png,final_check_output\npz_data\12_leads_data\Abnormal heartbeat\HB_(105)_12leads.npz,final_check_output\csv_data\12_leads_csv\Abnormal heartbeat\HB_(105).csv,12_leads,124,12,success,1.5515088449531729,1.979111784294826,20,55,3.9168834547346507,1.5047350737842269,0.7886178861788617,1.0475287628694958,0.24055676054911324,1.4596774193548387,1.8981102656708755,19,54,3.6028225806451615,1.5695268822630408,0.8536585365853658,-1.0604603797138998,0.550880903522267,1.0819458896982317,2.1055492559174893,16,42,4.4333376690946915,2.088489554172148,0.7235772357723578,-2.7795519253153946,9.479747023989283,1.8860561914672236,2.6740985770520656,12,43,7.150803199791883,1.648477987355836,0.8414634146341463,1.8444823674246935,2.286447374628767,1.7875260145681584,2.2309540464420388,20,51,4.977155957336107,1.709014835312167,0.9146341463414634,1.135485081267002,0.1672966461141927,0.578889177939648,0.8364092987816727,15,53,0.6995805150884494,0.7366701614897052,0.3699186991869919,1.1759834661190844,1.0297265431563778,3.9729448491155046,5.5510765705952805,12,44,30.814451092611858,2.651123400476267,1.4878048780487805,1.193173270691257,1.4226734330196544,1.7053850156087424,2.6590257960732804,12,50,7.070418184183143,2.4800013113030888,0.983739837398374,2.500397362785887,6.377346573899823,0.8055411030176898,0.96400488122736,17,49,0.9293054110301766,0.570265948512201,0.3333333333333333,0.6811241910516245,-0.23517256997718006,1.1837929240374616,1.4666559257639689,18,51,2.151079604578564,1.1006280542586302,0.5772357723577236,1.053877887677774,0.1108586045252058,2.1863943808532778,2.848392919111428,12,50,8.113342221644121,1.1842461840302647,0.7886178861788617,1.5610056385850164,1.2998145911438739,1.2721123829344418,1.8615062490060166,14,48,3.465205515088449,1.5335012279943445,0.6544715447154471,1.8966969918237941,3.326977416591534,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(106).png,final_check_output\npz_data\12_leads_data\Abnormal heartbeat\HB_(106)_12leads.npz,final_check_output\csv_data\12_leads_csv\Abnormal heartbeat\HB_(106).csv,12_leads,124,12,success,1.5515088449531729,1.979111784294826,20,55,3.9168834547346507,1.5047350737842269,0.7886178861788617,1.0475287628694958,0.24055676054911324,1.4596774193548387,1.8981102656708755,19,54,3.6028225806451615,1.5695268822630408,0.8536585365853658,-1.0604603797138998,0.550880903522267,1.0819458896982317,2.1055492559174893,16,42,4.4333376690946915,2.088489554172148,0.7235772357723578,-2.7795519253153946,9.479747023989283,1.8860561914672236,2.6740985770520656,12,43,7.150803199791883,1.648477987355836,0.8414634146341463,1.8444823674246935,2.286447374628767,1.7875260145681584,2.2309540464420388,20,51,4.977155957336107,1.709014835312167,0.9146341463414634,1.135485081267002,0.1672966461141927,0.578889177939648,0.8364092987816727,15,53,0.6995805150884494,0.7366701614897052,0.3699186991869919,1.1759834661190844,1.0297265431563778,3.9729448491155046,5.5510765705952805,12,44,30.814451092611858,2.651123400476267,1.4878048780487805,1.193173270691257,1.4226734330196544,1.7053850156087424,2.6590257960732804,12,50,7.070418184183143,2.4800013113030888,0.983739837398374,2.500397362785887,6.377346573899823,0.8055411030176898,0.96400488122736,17,49,0.9293054110301766,0.570265948512201,0.3333333333333333,0.6811241910516245,-0.23517256997718006,1.1837929240374616,1.4666559257639689,18,51,2.151079604578564,1.1006280542586302,0.5772357723577236,1.053877887677774,0.1108586045252058,2.1863943808532778,2.848392919111428,12,50,8.113342221644121,1.1842461840302647,0.7886178861788617,1.5610056385850164,1.2998145911438739,1.2721123829344418,1.8615062490060166,14,48,3.465205515088449,1.5335012279943445,0.6544715447154471,1.8966969918237941,3.326977416591534,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(107).png,final_check_output\npz_data\12_leads_data\Abnormal heartbeat\HB_(107)_12leads.npz,final_check_output\csv_data\12_leads_csv\Abnormal heartbeat\HB_(107).csv,12_leads,124,12,success,1.557752341311134,2.105780903940537,20,68,4.434313215400625,1.2321901975453422,0.6869918699186992,-0.5940460640477393,0.8049543939299508,1.3322060353798122,1.9955196629665568,20,65,3.98209872528616,1.8495220213117425,0.8333333333333334,-1.8220057084529118,4.4118360102009095,1.0271852237252863,1.6200446737844088,17,38,2.624544745057232,1.5952164264307436,0.6991869918699187,-0.3147538067363321,3.8645684314440105,1.9153225806451613,2.4226959456690578,14,46,5.86945564516129,1.3205689830616159,0.7398373983739838,0.7099298552618823,-0.16971899294297543,1.7299037460978146,2.6964050671514936,21,55,7.270600286160249,2.809681288525343,1.2195121951219512,2.2539741495772945,6.867175859768702,1.314776274713839,1.5706977975663927,11,47,2.4670915712799175,1.2655536402144962,0.5121951219512195,0.0597362840047061,0.46811526249764723,3.328043704474506,5.580305082921195,18,46,31.139804818476126,5.066495504169222,2.6910569105691056,-1.4824552498331138,4.932718744281573,2.173712278876171,3.2365716289322495,17,47,10.475395909209155,3.241467849777044,1.4552845528455285,2.585351358514129,9.603915566289444,1.9592221644120706,2.6955848733759735,11,58,7.266177809573362,2.0402454818026827,0.8617886178861789,1.504187500200796,3.3680182499322093,1.5975546305931319,2.3318865987138366,19,58,5.4376951092611865,1.987256146517081,0.9146341463414634,1.1443405036887768,3.008015158457561,1.5383389698231007,2.3210216471917215,16,42,5.387141486732571,2.2710174647508223,1.1300813008130082,1.6701799226374134,4.114512126995206,1.7970863683662843,2.6089551015999515,16,49,6.806646722164413,2.5295007380389984,1.1300813008130082,2.208445603560257,5.667104461488735,Abnormal heartbeat
