original_image,npz_path,csv_path,data_type,num_samples,status,MAV,RMS,ZC,SSC,VAR,DASDV,AAC,Skew,Kurt,class
ECG Dataset\Abnormal heartbeat\HB_(1).png,final_check_output\npz_data\extended_lead_II_data\Abnormal heartbeat\HB_(1)_extended_leadII.npz,final_check_output\csv_data\extended_lead_II_csv\Abnormal heartbeat\HB_(1).csv,extended_lead_II,510,success,1.6509803921568618,2.6403109343532556,77,218,6.9712418300653605,2.4768079463582593,1.0599214145383105,2.689651071531042,8.659505144215515,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(10).png,final_check_output\npz_data\extended_lead_II_data\Abnormal heartbeat\HB_(10)_extended_leadII.npz,final_check_output\csv_data\extended_lead_II_csv\Abnormal heartbeat\HB_(10).csv,extended_lead_II,510,success,2.507973856209151,3.4631062032752324,43,218,11.993104575163398,2.9088983460111364,1.4086444007858545,1.171526081903715,3.358876571208577,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(100).png,final_check_output\npz_data\extended_lead_II_data\Abnormal heartbeat\HB_(100)_extended_leadII.npz,final_check_output\csv_data\extended_lead_II_csv\Abnormal heartbeat\HB_(100).csv,extended_lead_II,510,success,1.4823375624759716,2.3347820514962923,47,272,5.451207227989236,1.434215625254777,0.7210216110019646,-2.0400933932234477,3.583588525085357,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(101).png,final_check_output\npz_data\extended_lead_II_data\Abnormal heartbeat\HB_(101)_extended_leadII.npz,final_check_output\csv_data\extended_lead_II_csv\Abnormal heartbeat\HB_(101).csv,extended_lead_II,510,success,1.6538331410995768,2.235702792018804,92,231,4.998366974240677,1.8345087617279405,0.9764243614931237,1.3580016093062353,1.7382984802455557,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(102).png,final_check_output\npz_data\extended_lead_II_data\Abnormal heartbeat\HB_(102)_extended_leadII.npz,final_check_output\csv_data\extended_lead_II_csv\Abnormal heartbeat\HB_(102).csv,extended_lead_II,510,success,1.6912687427912336,2.34920884536777,71,221,5.518782199154172,1.7128028248165084,0.8536345776031434,1.450234999781577,2.9006361782363497,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(103).png,final_check_output\npz_data\extended_lead_II_data\Abnormal heartbeat\HB_(103)_extended_leadII.npz,final_check_output\csv_data\extended_lead_II_csv\Abnormal heartbeat\HB_(103).csv,extended_lead_II,510,success,1.3811918492887352,1.7752614592646574,60,244,3.15155324875048,1.0757187938207526,0.5638506876227898,0.5186246827366479,0.5497559763814319,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(104).png,final_check_output\npz_data\extended_lead_II_data\Abnormal heartbeat\HB_(104)_extended_leadII.npz,final_check_output\csv_data\extended_lead_II_csv\Abnormal heartbeat\HB_(104).csv,extended_lead_II,510,success,2.5015859284890425,3.7478062595255466,111,228,14.046051758938871,4.440365610887206,2.2347740667976423,1.6908829458554604,5.412864883360966,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(105).png,final_check_output\npz_data\extended_lead_II_data\Abnormal heartbeat\HB_(105)_extended_leadII.npz,final_check_output\csv_data\extended_lead_II_csv\Abnormal heartbeat\HB_(105).csv,extended_lead_II,510,success,1.7015570934256057,2.2021975760097368,78,207,4.849674163783161,1.7388431897404886,0.8722986247544204,1.3435842750142786,0.962433697401361,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(106).png,final_check_output\npz_data\extended_lead_II_data\Abnormal heartbeat\HB_(106)_extended_leadII.npz,final_check_output\csv_data\extended_lead_II_csv\Abnormal heartbeat\HB_(106).csv,extended_lead_II,510,success,1.7015570934256057,2.2021975760097368,78,207,4.849674163783161,1.7388431897404886,0.8722986247544204,1.3435842750142786,0.962433697401361,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(107).png,final_check_output\npz_data\extended_lead_II_data\Abnormal heartbeat\HB_(107)_extended_leadII.npz,final_check_output\csv_data\extended_lead_II_csv\Abnormal heartbeat\HB_(107).csv,extended_lead_II,510,success,1.949013840830449,2.9342528393282215,87,205,8.609839725105727,2.9686062032179157,1.3467583497053046,2.2400948661369435,6.861013417787968,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(108).png,final_check_output\npz_data\extended_lead_II_data\Abnormal heartbeat\HB_(108)_extended_leadII.npz,final_check_output\csv_data\extended_lead_II_csv\Abnormal heartbeat\HB_(108).csv,extended_lead_II,510,success,1.3527489427143395,3.6525139731042295,92,244,13.340858323721648,4.900633454102998,1.1699410609037328,8.412634102044807,77.42243013493643,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(109).png,final_check_output\npz_data\extended_lead_II_data\Abnormal heartbeat\HB_(109)_extended_leadII.npz,final_check_output\csv_data\extended_lead_II_csv\Abnormal heartbeat\HB_(109).csv,extended_lead_II,510,success,1.413275663206459,1.7320566343351496,117,245,3.0000201845444066,1.4251115835401362,0.918467583497053,0.38829786396661004,-0.5982350137423587,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(11).png,final_check_output\npz_data\extended_lead_II_data\Abnormal heartbeat\HB_(11)_extended_leadII.npz,final_check_output\csv_data\extended_lead_II_csv\Abnormal heartbeat\HB_(11).csv,extended_lead_II,510,success,0.8248442906574394,1.2991568554946615,67,248,1.6878085351787773,0.9665322942535187,0.444007858546169,-2.324108568534046,6.449742995895104,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(110).png,final_check_output\npz_data\extended_lead_II_data\Abnormal heartbeat\HB_(110)_extended_leadII.npz,final_check_output\csv_data\extended_lead_II_csv\Abnormal heartbeat\HB_(110).csv,extended_lead_II,510,success,1.6979008073817763,3.817528725116496,77,226,14.57352556708958,4.211384141237743,1.1100196463654224,5.125462572031947,50.87498359075424,Abnormal heartbeat
ECG Dataset\Abnormal heartbeat\HB_(111).png,final_check_output\npz_data\extended_lead_II_data\Abnormal heartbeat\HB_(111)_extended_leadII.npz,final_check_output\csv_data\extended_lead_II_csv\Abnormal heartbeat\HB_(111).csv,extended_lead_II,510,success,1.618116109188773,2.36368482654656,88,226,5.587005959246444,2.146180414895482,0.9960707269155207,2.183204634239734,5.4153924893667345,Abnormal heartbeat
